plot_number,Date,ID,mAqI,mAqE,mtqE,mAqM,mtqM,maxNPQ,Ta,VPD,Precip,Fsd,Ta_7day,VPD_7day,Precip_7day,Fsd_7day,Precip_cum,year,plot_number_year,Date_num
116,2021-07-13,NAM46,0.3311424215,1.761575561,1.1731500000000001,1.657502202,15.9132,3.75,-0.6546301262777727,-0.7154608297827642,-0.5431816514347046,0.16374149473205005,-1.0686686066652171,-1.336770977990057,-0.522728325633863,-1.0956552677147309,0.8453336936288064,2021,116_2021,-0.9260897197684407
116,2022-07-19,NAM31,0.9220247136666667,1.821915312,0.9067466666666667,1.2760577963333333,33.716233333333335,4.02,-9.816399923040428e-4,0.8135025976319359,-0.5431816514347046,1.3231995177707159,0.024833266342994726,-0.05020684827302448,-0.5442056995609819,-0.026933219362219613,-1.0587556069520667,2022,116_2022,1.060312317065664
116,2021-07-20,NAM46,0.47752286,1.8393920430000001,1.0560066666666665,1.536511868,19.05023333333333,3.8533333333333335,-0.3268387952909119,0.30510026218637826,-0.5431816514347046,0.39267761194914014,-0.7996184607684895,-1.03833880236649,-0.2528293268860443,-0.8228785876056652,1.098784917375684,2021,116_2021,-0.8886104360545897
116,2022-07-26,NAM31,0.7075315595,2.098813704,0.8150850000000001,1.6140956055000002,31.74055,4.420450000000001,-1.4769588017150492,-1.4894787450480875,-0.474508597654225,-1.7704218055511878,0.5881310689221091,0.31088031608610933,-0.9057414934418028,-0.7136157775996408,-1.030156052521485,2022,116_2022,1.0977916007795152
116,2021-07-28,NAM46,0.486593757,1.866046987,1.1019966666666667,1.6173613586666666,22.345233333333333,3.9699999999999998,0.5133046294761627,-0.35947373786358255,-0.5431816514347046,0.4475350652351061,1.2213633111432967,-0.052859089472616645,-0.48263722768918743,1.2097415995831737,1.2730942706724184,2021,116_2021,-0.8457769689530457
116,2022-07-06,NAM31,0.09520870266666667,2.117500428,1.9475666666666667,1.904333494,28.812633333333334,4.116666666666666,1.9816469000250903,2.020156780443473,-0.5431816514347046,0.342420627641271,1.9674059858753663,3.2449730817821134,-0.9644463154040351,1.7075997427866596,-1.5942576088764038,2022,116_2022,0.9907079330256551
116,2021-07-07,NAM46,0.36349334866666666,1.9157032636666667,0.99875,1.6307808223333333,27.11416666666667,3.91,0.6410618068226287,0.2938168351811269,-0.36093393178650857,0.3562391579092268,-0.4410944994062643,0.30579305345886804,0.3893441526075056,1.825119740496843,0.701842825709854,2021,116_2021,-0.9582148200945987
116,2021-08-11,NAM46,0.42167345266666667,1.6190181843333333,1.2983,1.7161468756666667,28.9559,3.756666666666667,1.6430649244746727,0.5450399976644431,-0.5431816514347046,0.2273061631868581,0.6757188534826407,-0.5616504292858328,-0.7911954994269006,0.12801918598449086,1.4146127555271923,2021,116_2021,-0.7708184015253435
116,2022-08-04,NAM31,1.1810572885,1.9197157325,0.5515175,1.1693466909999999,30.9176,4.27,0.5234234036164218,-0.2478080597954612,-0.09680680186158665,0.1655651297674123,-0.4476227182455092,0.051188798155198556,0.7229593605606408,0.26074304398912485,-0.43474291502274,2022,116_2022,1.1459792512687523
117,2021-06-30,NAM22,0.524652251,2.292035094,1.1724,1.183134761,14.5773,4,-0.009634519913518819,-1.0459346628128385,0.513326868264983,-1.2521555732792384,0.6387272807550961,-1.01550813256878,2.9365606964572875,-1.5429794315635699,0.22723815089201369,2021,117_2021,-0.9956941038084497
117,2022-07-12,NAM28,0.192259077,1.7977178796666666,1.4417333333333333,1.9966869153333333,25.650366666666667,3.986666666666667,0.0815566202665785,1.8894154051611827,-0.5431816514347046,1.645197184608082,0.7529157960053651,0.5534146037295963,0.12159289139050788,0.3472299634585683,-1.2118618423088867,2022,117_2022,1.0228330333518132
117,2021-07-13,NAM22,0.336682694,2.265804543,1.9243,1.259019154,23.7692,3.86,-0.6546301262777727,-0.7154608297827642,-0.5431816514347046,0.16374149473205005,-1.0686686066652171,-1.336770977990057,-0.522728325633863,-1.0956552677147309,0.8453336936288064,2021,117_2021,-0.9260897197684407
117,2022-07-19,NAM28,0.381042338,1.8147347555,1.09558,1.3295099110000002,26.211750000000002,3.525,-9.816399923040428e-4,0.8135025976319359,-0.5431816514347046,1.3231995177707159,0.024833266342994726,-0.05020684827302448,-0.5442056995609819,-0.026933219362219613,-1.0587556069520667,2022,117_2022,1.060312317065664
117,2021-07-20,NAM22,0.6265425689999999,1.862795852,1.2319,1.2305120765000002,18.27885,3.7199999999999998,-0.3268387952909119,0.30510026218637826,-0.5431816514347046,0.39267761194914014,-0.7996184607684895,-1.03833880236649,-0.2528293268860443,-0.8228785876056652,1.098784917375684,2021,117_2021,-0.8886104360545897
117,2022-07-26,NAM28,0.5131304653333333,2.063857468,0.8043566666666666,0.9507667353333333,18.942733333333333,3.5277333333333334,-1.4769588017150492,-1.4894787450480875,-0.474508597654225,-1.7704218055511878,0.5881310689221091,0.31088031608610933,-0.9057414934418028,-0.7136157775996408,-1.030156052521485,2022,117_2022,1.0977916007795152
117,2021-07-28,NAM22,0.7558852683333334,1.759337765,1.2560366666666667,1.5442269033333333,26.150133333333333,4.0600000000000005,0.5133046294761627,-0.35947373786358255,-0.5431816514347046,0.4475350652351061,1.2213633111432967,-0.052859089472616645,-0.48263722768918743,1.2097415995831737,1.2730942706724184,2021,117_2021,-0.8457769689530457
117,2022-07-06,NAM28,0.209576942,1.710889214,1.7889666666666668,1.7937735286666667,20.104,3.7133333333333334,1.9816469000250903,2.020156780443473,-0.5431816514347046,0.342420627641271,1.9674059858753663,3.2449730817821134,-0.9644463154040351,1.7075997427866596,-1.5942576088764038,2022,117_2022,0.9907079330256551
117,2021-07-07,NAM22,0.494808591,1.978493269,1.0612,1.526489271,39.1394,4,0.6410618068226287,0.2938168351811269,-0.36093393178650857,0.3562391579092268,-0.4410944994062643,0.30579305345886804,0.3893441526075056,1.825119740496843,0.701842825709854,2021,117_2021,-0.9582148200945987
