pitcher,batter,events,launch_speed,launch_angle,spray_angle
502239,544725,out,98.8,-6,32.6664818835318
502043,547957,out,99.8,-14,19.3952439238057
592716,572228,out,80,69,30.1689693049592
642547,592200,out,97,20,-2.88486431444294
453286,571697,b2,102.9,-4,47.9273109303143
493603,571970,out,108.9,16,27.8202724863747
596295,592518,out,91.2,40,15.9938604174807
543037,593160,out,67.7,-12,-19.1848689331504
461833,641313,out,98.6,4,-26.565051177078
573185,595978,out,75.6,61,28.981398287746
502042,595879,b1,101.1,-13,27.6801071637494
622072,516782,b1,47.7,-75,4.9780234572919
520980,641487,out,95.8,0,10.1359024835347
477569,502481,b1,92,8,16.0258674484498
573668,608686,out,86.3,56,11.161941032402
572971,596059,out,68.5,-37,40.0640620877396
592836,657557,b1,102.3,11,-25.2965724298042
527048,572287,out,89.2,39,-26.7660068170215
670950,435559,b1,101.2,1,-34.6020670343701
622075,656976,b1,85.9,18,-42.3103309406719
448306,542303,out,80,69,-27.0637315607706
518617,664702,out,90.7,34,29.7558203775586
622072,543685,out,78.5,6,22.6722720064741
663432,642133,out,98,61,-32.0246297853301
445213,641355,out,92.6,23,-18.511684196033
592135,641487,out,62.5,-23,-18.4896725689494
622382,608070,out,69.4,20,6.99827952579668
453385,518934,out,43.4,-44,-45.0969470809364
641838,641313,out,82.9,-21,14.2385507131673
543135,609280,out,98.3,21,4.64727239038344
572831,543829,b1,92.8,12,-22.4148355239253
664062,592626,out,95.2,60,-37.3685962215799
621381,605113,out,95,-11,-64.6538240580525
628711,641857,b4,101.1,41,32.5122636978437
501381,643376,out,102.4,3,-20.5476278798937
622072,592567,out,81.3,2,-16.1308988472624
502327,593934,out,80.5,0,-17.2386280202354
592426,642423,b2,95.9,-6,33.0689663898314
489265,624415,out,86.1,64,0.964910839344214
458708,472528,b4,106.4,25,11.3645811524217
628317,444482,b2,106.7,9,5.94652768056792
448855,665742,out,95.4,22,-8.46528602315996
502239,518934,out,102.4,1,-16.1225987777172
621107,595751,out,82.9,-21,40.3205314211141
594835,592261,out,92.8,47,-8.20758887117221
573185,596012,out,93.4,18,-28.9025260101756
623913,445055,b1,99.2,13,32.592278615172
605135,516782,out,95.8,-33,13.2769582605481
621097,596144,out,90.3,33,-15.9363827019783
500779,593428,b1,90.3,-17,-54.3961013545507
450203,608577,out,93.6,17,-1.80277164299037
621389,519237,out,95.4,48,30.8973288119264
594987,570731,b4,104.6,23,-27.5509841058784
656685,593934,b1,91.2,3,-35.8841464763004
605463,595777,b1,77.3,-25,38.5077295680644
594798,452220,b1,92.7,14,31.0426116074139
465657,594777,out,96.4,-19,-25.2138658839232
665621,591712,b1,100.4,16,-15.047471158173
608337,643217,out,76.2,-26,45.0730192206804
623352,546991,out,86.4,-42,-0.0670517885977177
607473,641355,out,91,56,7.39830847092062
502188,605137,out,87.4,52,21.1010069741164
592426,646240,out,106,-14,16.7082088390388
592170,572122,out,93.4,11,22.0283501161361
458690,488771,out,93.2,4,15.6173310838446
527048,571745,b1,90.3,-17,-42.2993706626046
571710,460077,b4,96.6,28,-19.7115888015839
605121,514888,b1,83.3,10,5.55471956967318
606424,519203,out,76.2,-13,24.4480668685074
605151,543543,out,67.2,67,-50.8236112172674
607457,546318,b1,74.3,23,-31.5710587919998
502381,621020,out,92.1,31,42.4513015355421
628317,657656,out,98.4,-24,-2.13778822165632
606149,572041,out,79.9,-41,-14.7527397615899
663465,621043,out,96,38,10.6141569766907
592254,664141,b1,97,2,26.7857859384652
462382,460077,b1,96.8,16,-12.3916136474697
641632,570482,out,91.2,-2,-15.6790201884587
571735,607208,b2,106.6,14,41.5859602724359
656738,593700,out,90.9,49,-11.0042198404145
502043,596748,out,74.3,-10,-39.2403662643365
596057,547379,b1,90,11,11.355843326646
544931,641355,out,90.5,38,5.29072160259781
628711,624428,out,69.6,16,-15.3258179112405
621249,662139,out,89.9,6,-16.857372819675
453178,596146,b1,109,10,40.893845729707
489334,596115,out,99.7,-9,-21.811074766205
502190,593934,out,52.6,-21,22.7201400106496
544365,502273,b2,78.4,-5,47.814792491576
407845,435079,b1,77.3,17,-30.5522805998577
641541,643217,b1,103.3,3,30.5329820661818
605242,657557,out,82,-9,-10.5364129813367
542914,642162,b1,94.3,-6,-8.93715879796265
506433,605486,out,91.9,11,-12.8786396889452
605240,594777,out,85.9,23,-5.0176685797531
613534,474832,out,100.6,30,18.5496887156836
468504,624577,b1,70.6,0,27.6683890463213
471822,452104,b1,92.4,16,14.5309035381782
605200,521692,out,76.2,13,-15.513202834102
640444,622666,out,73.6,-44,46.9691596819004
435043,596847,b1,101.2,-6,12.1074248168344
650671,642708,out,83.4,-48,-16.713306671336
630023,657656,out,92.4,23,27.0254150375524
527048,596144,out,93,36,40.8673677267923
592866,500871,out,103.4,9,31.2861817170584
450306,476704,out,89.2,39,-4.85346746787915
642207,575929,out,88.5,-26,-42.380167399858
657612,641343,out,87.2,-17,8.32913383299967
501789,542303,b1,92.3,-16,-3.91208462510121
642232,134181,out,84.9,27,18.9432987544749
527048,641553,out,89.1,0,-30.368855934831
446372,488771,out,95.4,54,-7.86555325896249
