"id","site","year","Ax","Ly","flCt","capsuleCt","nCapsulesHarvested","ovuleCt","embryoCt","nn1Dist","nn2Dist","nn3Dist","nn4Dist","nn5Dist","nn6Dist","nn7Dist","nn8Dist","nn9Dist","nn10Dist","nn1DistNotConsumed","nn2DistNotConsumed","nn3DistNotConsumed","nn4DistNotConsumed","nn5DistNotConsumed","nn6DistNotConsumed","nn7DistNotConsumed","nn8DistNotConsumed","nn9DistNotConsumed","nn10DistNotConsumed","fecundity","flCtNotConsumed","flCtUndamaged"
"LP397","sppw",2021,683219.22,191920.933,1,0,NA,NA,NA,1.43820895563657,4.88034066433555,12.0685641648086,12.1543959537151,12.3899527037058,13.1348705741346,13.4284980544893,13.5261696721256,14.3975332956463,14.8566061063613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"LP398","sppw",2021,683220.473,191921.639,1,0,NA,NA,NA,1.43820895563657,5.71153657085385,13.4871473633537,13.519336818064,13.7893015414386,14.3451347152844,14.8594906036559,14.9570718056649,15.6356202627168,15.6942871771798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"LP399","sppw",2021,683249.213,191948.431,1,0,NA,NA,NA,2.56408736206397,32.3075303915369,32.3310021650858,33.5418808357729,39.2912059372108,40.6905400922891,41.9157813955709,42.2617452786965,42.3797693481269,43.6225517020621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"LP400","sppw",2021,683251.653,191949.219,1,0,NA,NA,NA,2.56408736206397,29.8021463152519,32.2249291077788,35.2992516918575,39.9961689414955,40.1248753019734,41.6275005255431,41.9573552192847,42.4379519886745,43.0348380385735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"LP401","sppw",2021,683351.961,191961.151,1,1,1,109,56,5.09331836826414,8.6284325923092,8.63501482336055,8.92382754205695,9.38926589249184,9.6866900952132,10.2754077291289,10.3030343588649,11.121481421088,11.9740400032701,5.09331836826414,8.92382754205695,10.3030343588649,11.9740400032701,18.1261261718965,18.1378115824223,18.7109703917285,18.8593467542903,19.0185426360444,21.2915074619478,56,1,1
"LP402","sppw",2021,683299.87,191818.939,1,0,NA,NA,NA,1.84194679615565,4.02744695803278,4.23430679095901,4.53362382646291,8.07994461610678,11.0507153161961,11.7433153100068,11.8353019818242,12.1246289014941,12.1548179747623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"LP403","sppw",2021,683301.678,191818.587,1,0,NA,NA,NA,1.84194679615565,2.51669803512278,2.58237293978097,3.09612677389773,6.24604074594211,9.94159288044008,10.2887403504905,10.5644462704675,11.1880168037637,12.1091471624371,2.51669803512278,3.09612677389773,6.24604074594211,9.94159288044008,10.5644462704675,12.1091471624371,12.8154299576689,13.7121572701024,17.752524954285,19.5702681523983,0,1,1
"LP404","sppw",2021,683303.065,191816.487,2,0,NA,NA,NA,0.507851356227165,0.595773446880238,2.51669803512278,4.02744695803278,5.08261664894569,8.53276092481235,9.65488876172941,10.4678763845226,10.7760246844861,11.0892355012247,0.595773446880238,2.51669803512278,5.08261664894569,10.4678763845226,10.7760246844861,11.0892355012247,15.147402813679,15.2919132877592,19.411238310868,21.7227015390085,0,2,2
"LP405","sppw",2021,683303.497,191816.754,1,0,NA,NA,NA,0.507851356227165,0.866760059070343,2.58237293978097,4.23430679095901,4.59101568281801,8.13147096161021,9.21900265759565,10.0505578452623,10.3283977944524,10.6141040602243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
"LP406","sppw",2021,683303.254,191815.922,2,0,NA,NA,NA,0.595773446880238,0.866760059070343,3.09612677389773,4.53362382646291,5.11148217252486,8.31299254178563,9.4991244333941,10.2722306244244,11.1741527643293,11.428308098816,0.595773446880238,3.09612677389773,5.11148217252486,10.2722306244244,11.1741527643293,11.428308098816,15.7407474409572,15.7981804648618,19.9244612641053,22.3000013344478,0,2,0
