"","ObjExam","Online","ACTMath","ACTMajor","ACT","Gender","International","F17","S18","S19","Fa19","FR","SO","JR"
"1026",94.48,1,35.6,28,34.7,0,1,0,0,0,1,0,0,0
"1027",69.7,0,25,34,27,0,0,0,0,0,1,0,0,1
"1029",86,1,21,28.5,28,1,0,0,0,0,1,0,0,0
"1030",85.5,1,31,31.5,21,1,1,0,0,0,1,0,0,0
"1031",95.04,0,35.6,30.5,31.8,0,1,0,0,0,1,1,0,0
"1032",92.96,0,30,28.5,28,1,0,0,0,0,1,0,1,0
"1033",90.45,0,30.1,29.5,25.7,0,1,0,0,0,1,0,1,0
"1034",98.21,1,35.6,31,35.2,1,0,0,0,0,1,0,0,0
"1035",78.79,0,25,26,23,1,0,0,0,0,1,0,1,0
"1036",95.55,1,34.8,28.5,30.9,1,1,0,0,0,1,0,1,0
"1038",79.13,1,35.5,30.5,31.5,0,0,0,0,0,1,0,0,1
"1039",90.19,1,35,32,30,1,1,0,0,0,1,0,0,0
"1041",95.7,0,35.6,26,31.8,1,1,0,0,0,1,0,1,0
"1042",95.11,1,32.9,34.5,30.6,0,0,0,0,0,1,0,0,1
"1043",90.61,0,22.9,29,24.5,1,0,0,0,0,1,0,1,0
"1046",97.75,0,35,34,31,0,1,0,0,0,1,0,0,0
"1047",91.25,1,35.6,28.5,32.1,1,1,0,0,0,1,0,1,0
"1049",80.85,0,35,31,32,0,0,0,0,0,1,1,0,0
"1050",99.47,1,34.8,33.5,29.3,1,1,0,0,0,1,0,0,1
"1051",85.07,1,35,30.5,32,0,0,0,0,0,1,0,1,0
"1052",96.73,1,35.2,32.5,35.3,1,0,0,0,0,1,0,0,1
"1053",66.33,0,34,31.5,34,0,0,0,0,0,1,0,1,0
"1054",90.22,0,34,30.5,31,0,0,0,0,0,1,0,0,0
"1055",95.54,0,25,28.5,23,1,0,0,0,0,1,0,0,1
"1056",85.48,1,34,34,34,1,0,0,0,0,1,0,0,1
"1058",85.27,0,35.6,31,32.1,0,1,0,0,0,1,0,1,0
"1059",81.2,0,33.4,26,31.2,0,0,0,0,0,1,0,1,0
"1060",93.44,1,28,28.5,31,1,0,0,0,0,1,0,1,0
"1061",90.81,0,30,31.5,31,0,0,0,0,0,1,1,0,0
"1062",84.53,1,35,33.5,36,1,0,0,0,0,1,0,0,1
"1063",91.77,0,35.6,31.5,32.7,0,1,0,0,0,1,0,0,0
"1064",78.05,1,31,31,31,0,0,0,0,0,1,0,1,0
"1065",70.92,1,23.5,27.5,24.8,1,0,0,0,0,1,0,1,0
"1066",89.63,1,34.4,33.5,32.4,0,1,0,0,0,1,0,0,0
"1067",97.81,1,35,31.5,28,1,1,0,0,0,1,0,0,0
"1068",63.97,0,21,25.5,21,1,0,0,0,0,1,0,0,0
"1072",93.92,1,34.4,27.5,33,0,0,0,0,0,1,0,0,1
"1073",90.76,0,35.2,31.5,32.4,0,0,0,0,0,1,0,1,0
"1074",88.36,0,35.6,31.5,33.2,0,1,0,0,0,1,1,0,0
"1076",92.24,1,27,26,24,0,0,0,0,0,1,0,1,0
"1077",93.37,0,34,29,36,0,0,0,0,0,1,0,1,0
"1078",84.43,1,36,34,33,0,0,0,0,0,1,0,0,1
"1080",96.2,1,36,31.5,34,1,1,0,0,0,1,0,0,1
"1081",86.05,0,30.7,30.5,27.2,0,1,0,0,0,1,0,1,0
"1083",91.71,1,34.4,33.5,33,0,0,0,0,0,1,0,1,0
"1084",93.56,1,35,34,32,0,1,0,0,0,1,0,0,1
"1085",82.41,0,31.2,30.5,29.4,0,0,0,0,0,1,0,1,0
"1088",86.67,1,33.9,31.5,31.8,0,1,0,0,0,1,0,0,1
"1090",95.67,1,35.2,32,33.5,1,1,0,0,0,1,1,0,0
"1092",76.71,0,34.8,26,29.3,0,0,0,0,0,1,0,1,0
"1094",93.63,1,35.6,34,32.7,1,1,0,0,0,1,0,0,1
"1095",81.84,0,30,29.5,33,1,0,0,0,0,1,0,0,0
"1097",77.98,0,32,30.5,32,1,1,0,0,0,1,0,1,0
"1099",85.61,0,35.6,26,32.1,1,1,0,0,0,1,1,0,0
"1101",90.38,0,33.4,30.5,31.5,0,1,0,0,0,1,0,0,1
"1102",75.55,1,20,25.5,23,1,0,0,0,0,1,0,0,0
"1103",60.67,0,34.8,31.5,33.2,1,1,0,0,0,1,1,0,0
"1105",93.9,0,35.6,31,31.5,1,1,0,0,0,1,0,1,0
