"","ObjExam","Online","ACTMath","ACTMajor","ACT","Gender","International","F17","S18","S19","Fa19","FR","SO","JR"
"212",77.11,1,22,26,26,0,0,1,0,0,0,0,0,0
"214",86.75,0,33,31,30,1,0,1,0,0,0,0,1,0
"215",83.13,0,32,31.5,27,1,0,1,0,0,0,1,0,0
"216",80.72,1,30,29.5,27,0,0,1,0,0,0,0,1,0
"217",78.31,0,33,31,34,0,0,1,0,0,0,0,1,0
"218",75.9,1,27,28.5,27,1,0,1,0,0,0,0,1,0
"220",90.36,0,35.2,31.5,32.4,0,1,1,0,0,0,1,0,0
"221",93.98,0,35,33.5,35,0,0,1,0,0,0,0,1,0
"222",96.39,1,31,32.5,28,0,0,1,0,0,0,0,0,0
"225",96.39,0,33.8,26,33,0,1,1,0,0,0,0,1,0
"226",96.39,0,35.6,31.5,31.5,1,1,1,0,0,0,1,0,0
"227",93.98,0,35.5,26,32.9,1,1,1,0,0,0,0,1,0
"228",56.63,1,34.3,31,33,0,1,1,0,0,0,0,0,0
"229",86.75,1,35.1,31.5,31.6,0,1,1,0,0,0,0,0,1
"230",93.98,1,35.6,31.5,33.8,1,1,1,0,0,0,0,1,0
"231",97.59,1,30,28.5,27,1,0,1,0,0,0,0,0,0
"232",79.52,1,33,30,34,1,0,1,0,0,0,0,0,0
"237",86.75,0,33,31.5,30,0,0,1,0,0,0,1,0,0
"238",62.65,1,34.3,31,32.2,0,0,1,0,0,0,0,0,1
"239",95.18,0,35.6,31.5,33.5,0,1,1,0,0,0,0,0,1
"240",84.34,1,28,26,27,1,0,1,0,0,0,0,1,0
"242",80.72,0,24,25.5,26,1,0,1,0,0,0,0,1,0
"243",95.18,0,35.6,30.5,36.1,1,1,1,0,0,0,0,0,1
"244",83.13,0,35.6,31.5,34,0,1,1,0,0,0,1,0,0
"245",90.36,1,30,26,28,0,0,1,0,0,0,0,1,0
"246",93.98,1,34.4,31.5,30.9,0,1,1,0,0,0,1,0,0
"247",90.36,0,31,34,32,0,0,1,0,0,0,0,1,0
"249",92.77,1,35.6,30.5,31.9,1,1,1,0,0,0,0,1,0
"250",93.98,1,31,31.5,29,1,0,1,0,0,0,0,1,0
"251",71.08,1,33.8,31,30.8,0,1,1,0,0,0,0,1,0
"252",90.36,1,34.3,34.5,33.2,0,0,1,0,0,0,0,0,0
"253",93.98,0,35.6,28.5,34.7,1,1,1,0,0,0,0,1,0
"254",86.75,1,34,33.5,34,0,0,1,0,0,0,1,0,0
"255",89.16,0,35,33.5,33,0,1,1,0,0,0,1,0,0
"256",95.18,0,33,29,29,1,1,1,0,0,0,0,1,0
"257",86.75,1,35.1,28.5,32.9,1,1,1,0,0,0,0,1,0
"258",91.57,0,30,31.5,31,0,0,1,0,0,0,1,0,0
"259",86.75,0,34.3,28.5,32.2,1,1,1,0,0,0,0,1,0
"260",83.13,0,29,29.5,27,1,0,1,0,0,0,0,1,0
"262",92.77,0,36,31.5,33,1,1,1,0,0,0,1,0,0
"263",67.47,1,28,28.5,27,1,0,1,0,0,0,0,1,0
"265",89.16,0,34,33.5,36,1,0,1,0,0,0,1,0,0
"266",97.59,0,34,33,35,0,0,1,0,0,0,0,0,0
"268",90.36,0,35,31,29,0,0,1,0,0,0,1,0,0
"270",89.16,1,35.5,26,30.8,0,1,1,0,0,0,0,1,0
"271",96.39,0,35.6,33.5,34.4,0,1,1,0,0,0,0,0,0
"272",84.52,0,35.5,30.5,33.5,0,1,0,1,0,0,0,1,0
"273",94.05,0,35.6,28.5,32.7,1,1,0,1,0,0,0,1,0
"274",76.19,1,35.1,30.5,32.3,0,1,0,1,0,0,0,0,0
"276",78.57,1,34.8,26,30.6,0,1,0,1,0,0,0,0,1
"278",85.71,1,34,30.5,34,0,1,0,1,0,0,0,1,0
"279",85.71,1,33,31,32,0,0,0,1,0,0,0,0,1
"281",91.67,1,35.6,34.5,35.6,0,1,0,1,0,0,0,0,1
"282",65.48,0,34.4,31.5,33.2,0,0,0,1,0,0,1,0,0
"283",82.14,1,34.4,26,30.6,0,1,0,1,0,0,1,0,0
"284",80.95,0,27,26,29,0,0,0,1,0,0,1,0,0
"285",90.48,1,35,31.5,31,1,1,0,1,0,0,1,0,0
"286",80.95,1,31,34,32,1,0,0,1,0,0,0,0,0
"287",92.86,0,32,26,34,0,0,0,1,0,0,0,1,0
"288",64.29,1,34,30.5,27,1,1,0,1,0,0,0,1,0
"289",53.57,1,23,29.5,23,1,0,0,1,0,0,0,0,1
"290",67.86,0,26,26,29,1,0,0,1,0,0,0,1,0
"292",95.24,0,36,26,30,1,1,0,1,0,0,1,0,0
"293",79.76,0,34,34.5,31,1,0,0,1,0,0,0,0,1
"294",88.1,1,35.2,31.5,32.1,1,1,0,1,0,0,1,0,0
"295",88.1,1,33.8,28.5,32.4,1,1,0,1,0,0,0,1,0
"296",94.05,1,35.2,32.5,30.3,0,1,0,1,0,0,0,1,0
"297",86.9,1,31,29.5,29,0,0,0,1,0,0,0,0,1
"299",92.86,1,35.6,31.5,34,0,1,0,1,0,0,0,0,1
"301",64.29,0,22,28,27,1,0,0,1,0,0,0,1,0
"302",59.52,0,27,28.5,26,0,0,0,1,0,0,0,1,0
"305",89.29,1,31,26,29,1,0,0,1,0,0,0,1,0
"306",84.52,1,34,32,35,0,0,0,1,0,0,0,0,0
"307",85.71,0,34,30.5,30,0,0,0,1,0,0,0,0,1
"308",79.76,0,20,27.5,24,1,0,0,1,0,0,0,0,1
"309",92.86,1,36,34.5,35,1,0,0,1,0,0,0,0,1
"310",83.33,0,31.7,30.5,33.2,0,0,0,1,0,0,0,0,0
"311",89.29,1,35.6,30.5,33.2,0,1,0,1,0,0,0,0,0
